Group,Date,Location,Latitude,Longitude,Target/Event,Killed,Injured,Claimed?,Notes,References Link
JMB,06-Dec-02,Mymensingh,24.7459528,90.417854,4 Cinema Halls,27,200,No,"Multiple 
cinema halls bombed, targeting cultural freedom.",
JMB,1-Apr-2004,"Coordinated attacks against 
leftist groups, killing many in Bagamara",24.54420545,88.77729994,Lenin-Karl-Marxists (Communists) Sarbohara (Communists - Naxalites),24,300,Yes,"Coordinated attacks against 
leftist groups, killing many.",
HJB,21-Aug-04,Dhaka,23.72660935,90.41123532,Awami League Rally,24,300,No,"High-profile attack on a rally led by Sheikh Hasina, former Prime Minister.",https://en.wikipedia.org/wiki/2004_Dhaka_grenade_attack
ISG,1-Jul-16,Dhaka,23.79593813,90.41323765,Holy Artisan Bakery Attack,24,0,Yes,"The assailants entered the bakery with crude bombs, machetes, pistols, and took several dozen hostages (foreigners and locals).",https://en.wikipedia.org/wiki/July_2016_Dhaka_attack
HJB,16-Jun-01,Narayanganj,23.642881,90.488286,Awami League Office,22,100,No,"Bombing at an Awami League office, escalating political violence.",
HJB,06-Mar-99,Jessore,23.1640643,89.20645,Udichi Event,10,150,No,"A bomb attack during an Udichi cultural event, causing numerous casualties.",
HJB,03-Jun-01,Gopalganj,23.10824,89.7891,Church,10,26,No,"A church was bombed, targeting the Christian community.",
HJB,08-Oct-99,Khulna,22.8373287,89.5400472,Ahmadiyya Mosque,8,30,No,"Attack on an 
Ahmadiyya mosque, highlighting religious tensions.",
HJB,14-Apr-01,Dhaka,23.73554057,90.40136571,"Chhayanaut Event (Pahela Baishakh, Ramna Park)",8,50,No,"Attack during the celebration of the 
Bengali New Year at Ramna Park.",https://en.wikipedia.org/wiki/2001_Ramna_Batamul_bombings
HJB,23-Sep-01,Bagerhat,22.6551705,89.7779774,Awami League Rally,8,100,No,"Bomb attack on an Awami League political rally, causing significant casualties.",
JMB,29-Nov-05,Gazipur,23.9905079,90.3877184,Lawyers,8,48,Yes,"Bomb attack in a courthouse, killing 
lawyers and litigants.",
JMB,08-Dec-05,Netrokona,24.8820862,90.723087,Udichi Event,8,50,Yes,"Cultural activists attacked at an Udichi event, part of a broader attack on culture.",
JMB,17-Jan-03,Tangail,24.2514853,89.9198043,Fila Pagla's Shrine,7,10,No,"Bomb explosion at a religious shrine, affecting pilgrims.",
ISG,25-Mar-17,South Surma,24.8149694,91.9051478,Suspected Terrorist Hideout,6,40,Yes,,
HJB,20-Jan-01,Dhaka,23.72841733,90.41545805,Communist Party Rally,5,70,No,"Bomb attack on a 
Communist Party rally, illustrating political violence.",https://en.wikipedia.org/wiki/2001_bombing_on_Communist_Party_of_Bangladesh
JMB,22-Jan-03,Joypurhat,25.102406,89.0269453,Kalai Khana Pir's Shrine (5 Servants),5,0,No,Servants at a shrine were beheaded in an extremist attack.,
HJB,27-Jan-05,Habiganj,24.3896201,91.4126221,Awami League Rally - Shah AMS Kibria,5,50,No,Bomb attack targeting former Finance Minister Shah AMS Kibria at an Awami League rally.,
JMB,21-Dec-13,Dhaka,23.72017975,90.42517675,Lutfar Rahman Faruqi and 4 Followers,6,0,Yes,Self-proclaimed Mahadi and five others slaughtered in capital,https://www.dhakatribune.com/bangladesh/crime/47598/self-proclaimed-pir-and-five-others-slaughtered-in
HJB,26-Sep-01,Sunamganj,25.0666548,91.4072392,Awami League Rally,4,0,No,"Another bomb attack on an Awami League event, with fatalities.",
JMB,28-Sep-02,Satkhira,22.7216954,89.0682055,Cinema Hall & Circus,3,100,No,Bombings at entertainment venues to discourage what was considered un-Islamic activities.,
JMB,12-Jan-04,Sylhet,24.9047808,91.8600079,Shah Jalal Shrine,3,50,No,"Bomb attack at the sacred Shah Jalal Shrine, causing deaths and injuries.",
HJB,21-May-04,Sylhet,24.9047808,91.8600079,British High Commissioner (Shah Jalal Shrine),3,70,No,Attack during a visit to Shah Jalal Shrine by British High Commissioner Anwar Choudhury.,
JMB,17-Aug-05,Nationwide,,,Series of Sound Blasts,3,100,Yes,Coordinated bomb blasts across the country demanding the implementation of Islamic law.,
JMB,30-Oct-09,Sylhet,24.9047808,91.8600079,Shah Jalal Shrine,3,30,No,"Another bomb attack at the Shah Jalal Shrine, showing persistent threats to religious sites.",
ISG,7-Jul-16,Kishorogng,24.4336739,90.7851766,Sholakia Eidgah,3,0,Yes,,https://www.somoynews.tv/news/2024-07-07/RM3KBBMJ
HJB,15-Mar-99,Sylhet,24.9047808,91.8600079,Awami League MP Mahibor Rahman Manik's House,2,0,No,"Bomb attack targeting the residence of MP Mahibor Rahman Manik, resulting in two deaths.",http://news.bbc.co.uk/2/hi/south_asia/297168.stm
JMB,11-Mar-03,Khulna,22.8373287,89.5400472,Police Constables,2,0,No,"Bomb attack targeting police constables, part of a pattern against law enforcement.",
HJB,21-Jun-04,Sunamganj,25.0666548,91.4072392,Awami League Rally - Suranjit Sengupta,2,50,No,High-profile attack on Suranjit Sengupta during an Awami League rally.,
JMB,14-Nov-05,Jhalakathi,22.6411383,90.1987003,Judges,2,3,Yes,"Assassination of two judges, further intimidating the legal system.",
JMB,29-Nov-05,Chittagong,22.3752075,91.8348606,Police,2,16,Yes,"Attack on police, part of ongoing violence against law enforcement.",
JMB,01-Dec-05,Gazipur,23.9905079,90.3877184,District Administrator Office,2,25,Yes,"Suicide bombing at a government office, targeting officials.",
ISG,23-Oct-15,Dhaka,23.72303096,90.3979229,Hussni Dalan - Tajia Rally,2,60,Yes,"Bombing during a Shia mourning procession, targeting religious minorities.",https://www.bbc.com/bengali/news-60748222
